relation_id,sentence_id,paper_id,paper_title,doi,subject_mention_id,subject_text,subject_type,predicate,object_mention_id,object_text,object_type,evidence_text,relation_origin,inherited_from,confidence,accepted,support_sentence_ids,support_paragraph_id
paper_001:r0001,,paper_001,Impact of N2O admixture on the characteristics of pulsed dielectric barrier discharges in N2 at atmospheric pressure,10.1088/1361-6463/ab4944,,N2O concentration,PhysicalQuantity,has impact on,,discharge characteristics,PlasmaProperties,A significant impact of N2O on the discharge characteristics was found,,,0.95,True,,paper_001:p0001
paper_001:r0002,,paper_001,Impact of N2O admixture on the characteristics of pulsed dielectric barrier discharges in N2 at atmospheric pressure,10.1088/1361-6463/ab4944,,modelling results,Modelling,indicates transition from,,electropositive,PhysicalEffect,a transition from an electropositive to an electronegative regime takes place,,,0.9,True,,paper_001:p0001
paper_001:r0003,,paper_001,Impact of N2O admixture on the characteristics of pulsed dielectric barrier discharges in N2 at atmospheric pressure,10.1088/1361-6463/ab4944,,modelling results,Modelling,indicates transition to,,electronegative regime,DischargeRegime,a transition from an electropositive to an electronegative regime takes place,,,0.9,True,,paper_001:p0001
paper_001:r0004,,paper_001,Impact of N2O admixture on the characteristics of pulsed dielectric barrier discharges in N2 at atmospheric pressure,10.1088/1361-6463/ab4944,,N2O concentration,PhysicalQuantity,correlated with,,breakdown voltage,PhysicalQuantity,a strong increase of breakdown voltage... for N2O concentrations above 1 vol%,,,0.9,True,,paper_001:p0001
paper_001:r0005,,paper_001,Impact of N2O admixture on the characteristics of pulsed dielectric barrier discharges in N2 at atmospheric pressure,10.1088/1361-6463/ab4944,,N2O concentration,PhysicalQuantity,correlated with,,discharge inception jitter,PhysicalEffect,a strong increase of breakdown voltage and discharge inception jitter... for N2O concentrations above 1 vol%,,,0.9,True,,paper_001:p0001
paper_001:r0006,,paper_001,Impact of N2O admixture on the characteristics of pulsed dielectric barrier discharges in N2 at atmospheric pressure,10.1088/1361-6463/ab4944,,N2O concentration,PhysicalQuantity,varied in,,N2-N2O gas mixture,PlasmaMedium,The N2O concentration in the N2-N2O gas mixture was varied,,,0.95,True,,paper_001:p0001
paper_001:r0007,,paper_001,Impact of N2O admixture on the characteristics of pulsed dielectric barrier discharges in N2 at atmospheric pressure,10.1088/1361-6463/ab4944,,dielectric barrier discharges,PlasmaSource,studied using,,optical and electrical diagnostics,Experiment,studied using optical and electrical diagnostics,,,0.9,True,,paper_001:p0001
paper_001:r0008,,paper_001,Impact of N2O admixture on the characteristics of pulsed dielectric barrier discharges in N2 at atmospheric pressure,10.1088/1361-6463/ab4944,,0D modelling of the reaction kinetics,Modelling,supported by,,optical and electrical diagnostics,Experiment,supported by 0D modelling of the reaction kinetics,,,0.85,True,,paper_001:p0001
paper_001:r0009,,paper_001,Impact of N2O admixture on the characteristics of pulsed dielectric barrier discharges in N2 at atmospheric pressure,10.1088/1361-6463/ab4944,,N2O concentration,PhysicalQuantity,above,,1000 ppm,Unit,for concentrations above 1000 ppm,,,0.95,True,,paper_001:p0001
paper_001:r0010,,paper_001,Impact of N2O admixture on the characteristics of pulsed dielectric barrier discharges in N2 at atmospheric pressure,10.1088/1361-6463/ab4944,,N2O concentration,PhysicalQuantity,above,,1 vol%,Unit,for N2O concentrations above 1 vol%,,,0.95,True,,paper_001:p0001
paper_001:r0011,,paper_001,Impact of N2O admixture on the characteristics of pulsed dielectric barrier discharges in N2 at atmospheric pressure,10.1088/1361-6463/ab4944,,dielectric barrier discharges,PlasmaSource,determined_by,,discharge configuration,PhysicalQuantity,Morphology and peculiarities of dielectric barrier discharges (DBDs) are determined by several external parameters like discharge configuration,,,0.9,True,,paper_001:p0002
paper_001:r0012,,paper_001,Impact of N2O admixture on the characteristics of pulsed dielectric barrier discharges in N2 at atmospheric pressure,10.1088/1361-6463/ab4944,,dielectric barrier discharges,PlasmaSource,determined_by,,gas composition,PlasmaMedium,"Morphology and peculiarities of dielectric barrier discharges (DBDs) are determined by several external parameters like discharge configuration, gas composition and electric control",,,0.9,True,,paper_001:p0002
paper_001:r0013,,paper_001,Impact of N2O admixture on the characteristics of pulsed dielectric barrier discharges in N2 at atmospheric pressure,10.1088/1361-6463/ab4944,,dielectric barrier discharges,PlasmaSource,determined_by,,electric control,PowerSupply,"Morphology and peculiarities of dielectric barrier discharges (DBDs) are determined by several external parameters like discharge configuration, gas composition and electric control",,,0.9,True,,paper_001:p0002
paper_001:r0014,,paper_001,Impact of N2O admixture on the characteristics of pulsed dielectric barrier discharges in N2 at atmospheric pressure,10.1088/1361-6463/ab4944,,dielectric barrier discharges,PlasmaSource,has_regime,,filamentary,DischargeRegime,"Generally, two different discharge regimes, namely filamentary and diffuse (or uniform) are known",,,0.9,True,,paper_001:p0002
paper_001:r0015,,paper_001,Impact of N2O admixture on the characteristics of pulsed dielectric barrier discharges in N2 at atmospheric pressure,10.1088/1361-6463/ab4944,,dielectric barrier discharges,PlasmaSource,has_regime,,diffuse,DischargeRegime,"Generally, two different discharge regimes, namely filamentary and diffuse (or uniform) are known",,,0.9,True,,paper_001:p0002
paper_001:r0016,,paper_001,Impact of N2O admixture on the characteristics of pulsed dielectric barrier discharges in N2 at atmospheric pressure,10.1088/1361-6463/ab4944,,diffuse DBD,DischargeRegime,used_for,,homogeneous surface treatment,PlasmaApplication,"Avoiding filamentation, i.e. the formation of constricted discharge channels, to generate a diffuse DBD is interesting for homogeneous surface treatment",,,0.85,True,,paper_001:p0002
paper_001:r0017,,paper_001,Impact of N2O admixture on the characteristics of pulsed dielectric barrier discharges in N2 at atmospheric pressure,10.1088/1361-6463/ab4944,,diffuse DBD,DischargeRegime,requires,,pre-ionisation,PhysicalEffect,It can be achieved by a sufficient pre-ionisation or charge carrier supply from the dielectric barriers,,,0.9,True,,paper_001:p0002
paper_001:r0018,,paper_001,Impact of N2O admixture on the characteristics of pulsed dielectric barrier discharges in N2 at atmospheric pressure,10.1088/1361-6463/ab4944,,pre-ionisation,PhysicalEffect,affects,,discharge inception,PhysicalEffect,"Pre-ionisation, which means the amount of charge carriers (especially electrons) before discharge inception, affects the discharge",,,0.9,True,,paper_001:p0002
paper_001:r0019,,paper_001,Impact of N2O admixture on the characteristics of pulsed dielectric barrier discharges in N2 at atmospheric pressure,10.1088/1361-6463/ab4944,,pre-ionisation,PhysicalEffect,modifies,,electric field distribution,PhysicalQuantity,"Pre-ionisation, which means the amount of charge carriers (especially electrons) before discharge inception, affects the discharge by changing the electric field distribution in the gap prior to the breakdown",,,0.9,True,,paper_001:p0002
paper_001:r0020,,paper_001,Impact of N2O admixture on the characteristics of pulsed dielectric barrier discharges in N2 at atmospheric pressure,10.1088/1361-6463/ab4944,,pre-ionisation,PhysicalEffect,provides,,free charge carriers,Species,"Pre-ionisation, which means the amount of charge carriers (especially electrons) before discharge inception, affects the discharge by providing additional free charge carriers",,,0.9,True,,paper_001:p0002
