relation_id,sentence_id,paper_id,paper_title,doi,subject_mention_id,subject_text,subject_type,predicate,object_mention_id,object_text,object_type,evidence_text,relation_origin,inherited_from,confidence,accepted,support_sentence_ids,support_paragraph_id
paper_008:r0001,,paper_008,The influence of negative ions in helium–oxygen barrier discharges I. Laser photodetachment experiment,10.1088/0963-0252/25/2/025004,,Laser photodetachment experiments,Experiment,is_performed_in,,glow-like barrier discharge,DischargeRegime,Laser photodetachment experiments were performed in a glow-like barrier discharge,,,0.95,True,,paper_008:p0001
paper_008:r0002,,paper_008,The influence of negative ions in helium–oxygen barrier discharges I. Laser photodetachment experiment,10.1088/0963-0252/25/2/025004,,Laser photodetachment experiments,Experiment,uses,,Nd-YAG laser,DiagnosticDevice,studied using the fundamental and second harmonic wavelength of a Nd-YAG laser,,,0.9,True,,paper_008:p0001
paper_008:r0003,,paper_008,The influence of negative ions in helium–oxygen barrier discharges I. Laser photodetachment experiment,10.1088/0963-0252/25/2/025004,,helium with admixtures of oxygen,PlasmaMedium,has_pressure,,500 mbar,Unit,at a gas pressure of 500 mbar,,,0.95,True,,paper_008:p0001
paper_008:r0004,,paper_008,The influence of negative ions in helium–oxygen barrier discharges I. Laser photodetachment experiment,10.1088/0963-0252/25/2/025004,,glass-coated electrodes,ElectrodeConfiguration,has_gap,,3 mm,Unit,discharge gap between the glass-coated electrodes was 3 mm,,,0.9,True,,paper_008:p0001
paper_008:r0005,,paper_008,The influence of negative ions in helium–oxygen barrier discharges I. Laser photodetachment experiment,10.1088/0963-0252/25/2/025004,,discharge properties,PlasmaProperties,characterized_by,,optical emission spectroscopy,DiagnosticDevice,characterized by electrical measurements and optical emission spectroscopy,,,0.95,True,,paper_008:p0001
paper_008:r0006,,paper_008,The influence of negative ions in helium–oxygen barrier discharges I. Laser photodetachment experiment,10.1088/0963-0252/25/2/025004,,Laser photodetachment,PhysicalEffect,influences,,breakdown characteristics,PhysicalEffect,influences the breakdown characteristics when the laser is fired during the prephase,,,0.9,True,,paper_008:p0001
paper_008:r0007,,paper_008,The influence of negative ions in helium–oxygen barrier discharges I. Laser photodetachment experiment,10.1088/0963-0252/25/2/025004,,breakdown voltage,PhysicalQuantity,reduced_by,,Laser photodetachment,PhysicalEffect,"breakdown voltage is reduced, which indicates an enhanced pre-ionization",,,0.95,True,,paper_008:p0001
paper_008:r0008,,paper_008,The influence of negative ions in helium–oxygen barrier discharges I. Laser photodetachment experiment,10.1088/0963-0252/25/2/025004,,O -,Species,studied_in,,Laser photodetachment experiments,Experiment,"Laser photodetachment of O -, O 2 -, and O 3 -was studied",,,0.9,True,,paper_008:p0001
paper_008:r0009,,paper_008,The influence of negative ions in helium–oxygen barrier discharges I. Laser photodetachment experiment,10.1088/0963-0252/25/2/025004,,discharge prephase,DischargeRegime,important_for,,investigation,Experiment,underlines the importance of the discharge prephase in general,,,0.85,True,,paper_008:p0001
paper_008:r0010,,paper_008,The influence of negative ions in helium–oxygen barrier discharges I. Laser photodetachment experiment,10.1088/0963-0252/25/2/025004,,Atmospheric pressure barrier discharges,PlasmaSource,has_application,,biomedicine,PlasmaApplication,a crucial role is assigned to BDs operating in oxygenated systems as an effective source of radicals,,,0.95,True,,paper_008:p0002
paper_008:r0011,,paper_008,The influence of negative ions in helium–oxygen barrier discharges I. Laser photodetachment experiment,10.1088/0963-0252/25/2/025004,,He/O2 discharge,PlasmaSource,has_property,,discharge stability,PlasmaProperties,enables a compromise between chemical reactivity and discharge stability,,,0.9,True,,paper_008:p0002
paper_008:r0012,,paper_008,The influence of negative ions in helium–oxygen barrier discharges I. Laser photodetachment experiment,10.1088/0963-0252/25/2/025004,,He/O2 discharge,PlasmaSource,has_property,,low power consumption,PhysicalQuantity,operation of the He/O2 discharge is more efficient due to lower power consumptions,,,0.9,True,,paper_008:p0002
paper_008:r0013,,paper_008,The influence of negative ions in helium–oxygen barrier discharges I. Laser photodetachment experiment,10.1088/0963-0252/25/2/025004,,He BD,PlasmaSource,operates_in,,diffuse glow mode,DischargeRegime,The He BD typically operates in the diffuse glow mode,,,0.95,True,,paper_008:p0002
