relation_id,sentence_id,paper_id,paper_title,doi,subject_mention_id,subject_text,subject_type,predicate,object_mention_id,object_text,object_type,evidence_text,relation_origin,inherited_from,confidence,accepted,support_sentence_ids,support_paragraph_id
paper_002:r0001,,paper_002,Comparison of sinusoidal and pulsed-operated dielectric barrier discharges in an O2 N2 mixture at atmospheric pressure,10.1088/0963-0252/22/2/025003,,breakdown process,PhysicalEffect,studied_in,,dielectric barrier discharges,PlasmaSource,Experiments on the spatial and temporal structure of the breakdown process... in dielectric barrier discharges,,,0.95,True,,paper_002:p0001
paper_002:r0002,,paper_002,Comparison of sinusoidal and pulsed-operated dielectric barrier discharges in an O2 N2 mixture at atmospheric pressure,10.1088/0963-0252/22/2/025003,,sinusoidal waveform,PowerSupply,operated_at,,20 kHz,Unit,sinusoidal waveform at 20 kHz,,,0.9,True,,paper_002:p0001
paper_002:r0003,,paper_002,Comparison of sinusoidal and pulsed-operated dielectric barrier discharges in an O2 N2 mixture at atmospheric pressure,10.1088/0963-0252/22/2/025003,,pulsed-bipolar and unipolar-voltage profiles,PowerSupply,operated_at,,10 kHz,Unit,pulsed-bipolar and unipolar-voltage profiles at 10 kHz,,,0.9,True,,paper_002:p0001
paper_002:r0004,,paper_002,Comparison of sinusoidal and pulsed-operated dielectric barrier discharges in an O2 N2 mixture at atmospheric pressure,10.1088/0963-0252/22/2/025003,,sinusoidal-operated,PlasmaApplication,equivalent_to,,pulsed-bipolar operation,DischargeRegime,Sinusoidal operation corresponds to pulsed-bipolar operation,,,0.95,True,,paper_002:p0001
paper_002:r0005,,paper_002,Comparison of sinusoidal and pulsed-operated dielectric barrier discharges in an O2 N2 mixture at atmospheric pressure,10.1088/0963-0252/22/2/025003,,sinusoidal-operated,PlasmaApplication,has_lower,,streamer velocities,PhysicalQuantity,lower streamer velocities,,,0.9,True,,paper_002:p0001
paper_002:r0006,,paper_002,Comparison of sinusoidal and pulsed-operated dielectric barrier discharges in an O2 N2 mixture at atmospheric pressure,10.1088/0963-0252/22/2/025003,,pulsed-driven MDs,PlasmaSource,determined_by,,voltage,PhysicalQuantity,development... determined by the voltage between both electrodes,,,0.95,True,,paper_002:p0001
paper_002:r0007,,paper_002,Comparison of sinusoidal and pulsed-operated dielectric barrier discharges in an O2 N2 mixture at atmospheric pressure,10.1088/0963-0252/22/2/025003,,bipolar-and,DischargeRegime,similar_behavior_in,,unipolar-pulsed-driven,DischargeRegime,nearly the same behavior of bipolar-and unipolar-pulsed-driven MDs,,,0.9,True,,paper_002:p0001
paper_002:r0008,,paper_002,Comparison of sinusoidal and pulsed-operated dielectric barrier discharges in an O2 N2 mixture at atmospheric pressure,10.1088/0963-0252/22/2/025003,,asymmetric pulses,PowerSupply,causes_differences_in,,rising and falling slopes,PhysicalQuantity,significant difference... between the rising and falling slopes,,,0.9,True,,paper_002:p0001
paper_002:r0009,,paper_002,Comparison of sinusoidal and pulsed-operated dielectric barrier discharges in an O2 N2 mixture at atmospheric pressure,10.1088/0963-0252/22/2/025003,,gas mixture,PlasmaMedium,contains,,0.1 vol% O2 in N2,PlasmaMedium,gas mixture of 0.1 vol% O2 in N2,,,0.95,True,,paper_002:p0001
paper_002:r0010,,paper_002,Comparison of sinusoidal and pulsed-operated dielectric barrier discharges in an O2 N2 mixture at atmospheric pressure,10.1088/0963-0252/22/2/025003,,Electrical data,Experiment,involves,,streak,DiagnosticDevice,Electrical data and simultaneous streak and iCCD images,,,0.9,True,,paper_002:p0001
paper_002:r0011,,paper_002,Comparison of sinusoidal and pulsed-operated dielectric barrier discharges in an O2 N2 mixture at atmospheric pressure,10.1088/0963-0252/22/2/025003,,Electrical data,Experiment,involves,,iCCD,DiagnosticDevice,Electrical data and simultaneous streak and iCCD images,,,0.9,True,,paper_002:p0001
paper_002:r0012,,paper_002,Comparison of sinusoidal and pulsed-operated dielectric barrier discharges in an O2 N2 mixture at atmospheric pressure,10.1088/0963-0252/22/2/025003,,Dielectric barrier discharges,PlasmaSource,generates,,active species,Species,generate active species that are highly relevant for plasma chemistry,,,0.95,True,,paper_002:p0002
paper_002:r0013,,paper_002,Comparison of sinusoidal and pulsed-operated dielectric barrier discharges in an O2 N2 mixture at atmospheric pressure,10.1088/0963-0252/22/2/025003,,Sinusoidal waveforms,PowerSupply,used as,,plasma sources,PlasmaSource,DBDs driven by sinusoidal waveforms are often used as plasma sources,,,0.9,True,,paper_002:p0002
paper_002:r0014,,paper_002,Comparison of sinusoidal and pulsed-operated dielectric barrier discharges in an O2 N2 mixture at atmospheric pressure,10.1088/0963-0252/22/2/025003,,Pulseddriven discharges,DischargeRegime,more efficient than,,sinusoidal-driven discharges,DischargeRegime,pulseddriven discharges are more efficient than sinusoidal-driven discharges,,,0.85,True,,paper_002:p0002
paper_002:r0015,,paper_002,Comparison of sinusoidal and pulsed-operated dielectric barrier discharges in an O2 N2 mixture at atmospheric pressure,10.1088/0963-0252/22/2/025003,,Helium-nitrogen plasmas,PlasmaMedium,show higher,,electron production,PhysicalQuantity,higher electron production for pulsedoperated homogeneous DBDs,,,0.9,True,,paper_002:p0002
paper_002:r0016,,paper_002,Comparison of sinusoidal and pulsed-operated dielectric barrier discharges in an O2 N2 mixture at atmospheric pressure,10.1088/0963-0252/22/2/025003,,Unipolar symmetrical pulses,PowerSupply,behave similarly to,,sinusoidal operated discharges,PowerSupply,discharges operated with unipolar symmetrical pulses behave similarly to sinusoidal operated discharges,,,0.8,True,,paper_002:p0002
paper_002:r0017,,paper_002,Comparison of sinusoidal and pulsed-operated dielectric barrier discharges in an O2 N2 mixture at atmospheric pressure,10.1088/0963-0252/22/2/025003,,Sinusoidal-driven DBDs,DischargeRegime,induce,,field reversal,PhysicalEffect,MDs appear in each half-period... induced by a field reversal,,,0.85,True,,paper_002:p0002
paper_002:r0018,,paper_002,Comparison of sinusoidal and pulsed-operated dielectric barrier discharges in an O2 N2 mixture at atmospheric pressure,10.1088/0963-0252/22/2/025003,,Half-period,PhysicalQuantity,related to,,microdischarge (MD),PlasmaSource,MDs appear in each half-period of the applied voltage,,,0.8,True,,paper_002:p0002
paper_002:r0019,,paper_002,Comparison of sinusoidal and pulsed-operated dielectric barrier discharges in an O2 N2 mixture at atmospheric pressure,10.1088/0963-0252/22/2/025003,,Surface charges,PhysicalQuantity,influenced by,,applied electrical field,PhysicalEffect,how the surface charges are influenced by the applied electrical field,,,0.75,True,,paper_002:p0002
paper_002:r0020,,paper_002,Comparison of sinusoidal and pulsed-operated dielectric barrier discharges in an O2 N2 mixture at atmospheric pressure,10.1088/0963-0252/22/2/025003,,Voltage waveform,PowerSupply,influence,,electrical characteristics,PhysicalQuantity,investigates the influence of the voltage waveform on the electrical characteristics,,,0.85,True,,paper_002:p0002
paper_002:r0021,,paper_002,Comparison of sinusoidal and pulsed-operated dielectric barrier discharges in an O2 N2 mixture at atmospheric pressure,10.1088/0963-0252/22/2/025003,,Pulsed operation,DischargeRegime,compared with,,sinusoidal-driven DBDs,DischargeRegime,comparison between pulsed and sinusoidal-driven DBDs,,,0.9,True,,paper_002:p0002
paper_002:r0022,,paper_002,Comparison of sinusoidal and pulsed-operated dielectric barrier discharges in an O2 N2 mixture at atmospheric pressure,10.1088/0963-0252/22/2/025003,,Experimental and diagnostic set-up,Experiment,uses,,double-sided (symmetric) dielectric barrier MD arrangement,ElectrodeConfiguration,A double-sided (symmetric) dielectric barrier MD arrangement [...] was used for the investigation of single MDs.,,,0.95,True,,paper_002:p0003
paper_002:r0023,,paper_002,Comparison of sinusoidal and pulsed-operated dielectric barrier discharges in an O2 N2 mixture at atmospheric pressure,10.1088/0963-0252/22/2/025003,,gas cell,DiagnosticDevice,has_component,,alumina-covered half-sphere metal electrodes,ElectrodeMaterial,"gas cell made of plexiglas, including alumina-covered half-sphere metal electrodes and quartz glass windows",,,0.9,True,,paper_002:p0003
paper_002:r0024,,paper_002,Comparison of sinusoidal and pulsed-operated dielectric barrier discharges in an O2 N2 mixture at atmospheric pressure,10.1088/0963-0252/22/2/025003,,dielectric barrier,ElectrodeConfiguration,has_property,,0.5 mm thick,Unit,The dielectric barrier was about 0.5 mm thick,,,0.95,True,,paper_002:p0003
paper_002:r0025,,paper_002,Comparison of sinusoidal and pulsed-operated dielectric barrier discharges in an O2 N2 mixture at atmospheric pressure,10.1088/0963-0252/22/2/025003,,gas mixture,PlasmaMedium,has_component,,O 2 /N 2,Species,An O 2 /N 2 gas mixture of 0.1 vol% O 2 in N 2 at 1 atm,,,0.95,True,,paper_002:p0003
paper_002:r0026,,paper_002,Comparison of sinusoidal and pulsed-operated dielectric barrier discharges in an O2 N2 mixture at atmospheric pressure,10.1088/0963-0252/22/2/025003,,power supply,PowerSupply,consists_of,,arbitrary waveform generator,DiagnosticDevice,"power supply consisted of an arbitrary waveform generator (HP, 33120A), power amplifier (ALC, AL-1400-HF-A) and a high-frequency high-voltage transformer",,,0.9,True,,paper_002:p0003
paper_002:r0027,,paper_002,Comparison of sinusoidal and pulsed-operated dielectric barrier discharges in an O2 N2 mixture at atmospheric pressure,10.1088/0963-0252/22/2/025003,,sinusoidal operation,PowerSupply,has_property,,f = 20 kHz and V pp = 14 kV,PhysicalQuantity,adjusted to generate one MD per half period (f = 20 kHz and V pp = 14 kV),,,0.95,True,,paper_002:p0003
