relation_id,sentence_id,paper_id,paper_title,doi,subject_mention_id,subject_text,subject_type,predicate,object_mention_id,object_text,object_type,evidence_text,relation_origin,inherited_from,confidence,accepted,support_sentence_ids,support_paragraph_id
paper_007:r0001,,paper_007,On the influence of high voltage slope steepness on breakdown and development of pulsed dielectric barrier discharges,10.1088/0963-0252/25/6/064002,,applied high voltage,PowerSupply,influence_of,,pulsed dielectric barrier discharges,PlasmaSource,The influence of the steepness of the applied high voltage (HV) waveform on the characteristics of pulsed dielectric barrier discharges (DBDs) is investigated,,,0.95,True,,paper_007:p0001
paper_007:r0002,,paper_007,On the influence of high voltage slope steepness on breakdown and development of pulsed dielectric barrier discharges,10.1088/0963-0252/25/6/064002,,single-filament arrangement,ElectrodeConfiguration,used_in,,pulsed dielectric barrier discharges,PlasmaSource,using a single-filament arrangement with 1 mm gap,,,0.9,True,,paper_007:p0001
paper_007:r0003,,paper_007,On the influence of high voltage slope steepness on breakdown and development of pulsed dielectric barrier discharges,10.1088/0963-0252/25/6/064002,,slope steepness,PowerSupply,varied_between,,75 V ns -1 and 200 V ns -1,Unit,The slope steepness was varied between 75 V ns -1 and 200 V ns -1,,,0.95,True,,paper_007:p0001
paper_007:r0004,,paper_007,On the influence of high voltage slope steepness on breakdown and development of pulsed dielectric barrier discharges,10.1088/0963-0252/25/6/064002,,iCCD,DiagnosticDevice,used_for,,discharge development,PlasmaProperties,The discharge development was recorded with a combined iCCD and streak camera system,,,0.9,True,,paper_007:p0001
paper_007:r0005,,paper_007,On the influence of high voltage slope steepness on breakdown and development of pulsed dielectric barrier discharges,10.1088/0963-0252/25/6/064002,,streak camera system,DiagnosticDevice,used_for,,discharge development,PlasmaProperties,The discharge development was recorded with a combined iCCD and streak camera system,,,0.9,True,,paper_007:p0001
paper_007:r0006,,paper_007,On the influence of high voltage slope steepness on breakdown and development of pulsed dielectric barrier discharges,10.1088/0963-0252/25/6/064002,,"time-dependent, spatially one-dimensional fluid model calculations",Modelling,supports_analysis_of,,discharge development,PlasmaProperties,"The analysis was supported by time-dependent, spatially one-dimensional fluid model calculations",,,0.85,True,,paper_007:p0001
paper_007:r0007,,paper_007,On the influence of high voltage slope steepness on breakdown and development of pulsed dielectric barrier discharges,10.1088/0963-0252/25/6/064002,,steeper HV slope,PowerSupply,leads_to,,higher transferred charge,PhysicalQuantity,A steeper HV slope leads to a higher transferred charge and electrical energy per cycle,,,0.95,True,,paper_007:p0001
paper_007:r0008,,paper_007,On the influence of high voltage slope steepness on breakdown and development of pulsed dielectric barrier discharges,10.1088/0963-0252/25/6/064002,,steeper HV slope,PowerSupply,leads_to,,higher electrical energy,PhysicalQuantity,A steeper HV slope leads to a higher transferred charge and electrical energy per cycle,,,0.95,True,,paper_007:p0001
paper_007:r0009,,paper_007,On the influence of high voltage slope steepness on breakdown and development of pulsed dielectric barrier discharges,10.1088/0963-0252/25/6/064002,,steeper HV pulses,PowerSupply,results_in,,shorter 'dark space',PlasmaProperties,The DBD emission structure in the gap features a shorter 'dark space' in front of the cathode for steeper HV pulses,,,0.9,True,,paper_007:p0001
paper_007:r0010,,paper_007,On the influence of high voltage slope steepness on breakdown and development of pulsed dielectric barrier discharges,10.1088/0963-0252/25/6/064002,,slope steepness,PowerSupply,affects,,starting velocity of positive streamer-like propagation,PhysicalQuantity,The starting velocity of the positive streamer-like propagation at the rising slope of the HV pulses increases with increasing slope steepness,,,0.9,True,,paper_007:p0001
