relation_id,sentence_id,paper_id,paper_title,doi,subject_mention_id,subject_text,subject_type,predicate,object_mention_id,object_text,object_type,evidence_text,relation_origin,inherited_from,confidence,accepted,support_sentence_ids,support_paragraph_id
paper_019:r0001,,paper_019,Visualization of a Coaxial Dielectric Barrier Discharge Driven by a Sub-ns Rising High-Voltage Pulse and Its Reflections,10.1109/tps.2014.2309595,,Dielectric barrier discharges,PlasmaSource,generated_in,,coaxial tip to cylinder configuration,ElectrodeConfiguration,Dielectric barrier discharges generated in a coaxial tip to cylinder configuration,,,1.0,True,,paper_019:p0001
paper_019:r0002,,paper_019,Visualization of a Coaxial Dielectric Barrier Discharge Driven by a Sub-ns Rising High-Voltage Pulse and Its Reflections,10.1109/tps.2014.2309595,,Dielectric barrier discharges,PlasmaSource,generated_at,,atmospheric pressure,PlasmaMedium,generated ... at atmospheric pressure,,,1.0,True,,paper_019:p0001
paper_019:r0003,,paper_019,Visualization of a Coaxial Dielectric Barrier Discharge Driven by a Sub-ns Rising High-Voltage Pulse and Its Reflections,10.1109/tps.2014.2309595,,Dielectric barrier discharges,PlasmaSource,generated_by,,high-voltage pulse,PowerSupply,by a 5-ns high-voltage pulse,,,1.0,True,,paper_019:p0001
paper_019:r0004,,paper_019,Visualization of a Coaxial Dielectric Barrier Discharge Driven by a Sub-ns Rising High-Voltage Pulse and Its Reflections,10.1109/tps.2014.2309595,,Dielectric barrier discharges,PlasmaSource,investigated_with,,fast intensified CCD camera,DiagnosticDevice,investigated with a fast intensified CCD camera,,,1.0,True,,paper_019:p0001
paper_019:r0005,,paper_019,Visualization of a Coaxial Dielectric Barrier Discharge Driven by a Sub-ns Rising High-Voltage Pulse and Its Reflections,10.1109/tps.2014.2309595,,discharge characteristics,PlasmaProperties,related_to,,breakdown,PhysicalEffect,different discharge characteristics were found for the breakdown,,,0.9,True,,paper_019:p0001
paper_019:r0006,,paper_019,Visualization of a Coaxial Dielectric Barrier Discharge Driven by a Sub-ns Rising High-Voltage Pulse and Its Reflections,10.1109/tps.2014.2309595,,discharge characteristics,PlasmaProperties,related_to,,reflections,PhysicalEffect,different discharge characteristics were found ... in the subsequent reflections,,,0.9,True,,paper_019:p0001
paper_019:r0007,,paper_019,Visualization of a Coaxial Dielectric Barrier Discharge Driven by a Sub-ns Rising High-Voltage Pulse and Its Reflections,10.1109/tps.2014.2309595,,diffuse regime,DischargeRegime,transition_to,,constricted channels,DischargeRegime,transition from a complete diffuse regime to a breakdown in constricted channels,,,1.0,True,,paper_019:p0001
paper_019:r0008,,paper_019,Visualization of a Coaxial Dielectric Barrier Discharge Driven by a Sub-ns Rising High-Voltage Pulse and Its Reflections,10.1109/tps.2014.2309595,,breakdown,PhysicalEffect,occurs_in,,constricted channels,DischargeRegime,breakdown in constricted channels,,,1.0,True,,paper_019:p0001
paper_019:r0009,,paper_019,Visualization of a Coaxial Dielectric Barrier Discharge Driven by a Sub-ns Rising High-Voltage Pulse and Its Reflections,10.1109/tps.2014.2309595,,Coaxial Dielectric Barrier Discharge,PlasmaSource,driven_by,,high-voltage pulse,PowerSupply,Dielectric barrier discharges ... by a 5-ns high-voltage pulse,,,0.95,True,,paper_019:p0002
paper_019:r0010,,paper_019,Visualization of a Coaxial Dielectric Barrier Discharge Driven by a Sub-ns Rising High-Voltage Pulse and Its Reflections,10.1109/tps.2014.2309595,,Coaxial Dielectric Barrier Discharge,PlasmaSource,operates_at,,atmospheric pressure,PlasmaProperties,generated ... at atmospheric pressure,,,0.9,True,,paper_019:p0002
paper_019:r0011,,paper_019,Visualization of a Coaxial Dielectric Barrier Discharge Driven by a Sub-ns Rising High-Voltage Pulse and Its Reflections,10.1109/tps.2014.2309595,,high-voltage pulse,PowerSupply,has_property,,sub-ns rise time,PhysicalQuantity,5-ns high-voltage pulse with sub-ns rise time,,,0.95,True,,paper_019:p0002
paper_019:r0012,,paper_019,Visualization of a Coaxial Dielectric Barrier Discharge Driven by a Sub-ns Rising High-Voltage Pulse and Its Reflections,10.1109/tps.2014.2309595,,streamer-like breakdown,PhysicalEffect,influenced_by,,rise time,PhysicalQuantity,the rise time of the pulse plays an important role for the streamer-like breakdown,,,0.85,True,,paper_019:p0002
paper_019:r0013,,paper_019,Visualization of a Coaxial Dielectric Barrier Discharge Driven by a Sub-ns Rising High-Voltage Pulse and Its Reflections,10.1109/tps.2014.2309595,,diffuse regime,DischargeRegime,transition_to,,constricted channels,DischargeRegime,transition from a complete diffuse regime to a breakdown in constricted channels,,,0.9,True,,paper_019:p0002
