relation_id,sentence_id,paper_id,paper_title,doi,subject_mention_id,subject_text,subject_type,predicate,object_mention_id,object_text,object_type,evidence_text,relation_origin,inherited_from,confidence,accepted,support_sentence_ids,support_paragraph_id
paper_012:r0001,,paper_012,Upscaling from single- to multi-filament dielectric barrier discharges in pulsed operation,10.1088/1361-6463/ac868b,,discharge characteristics,PlasmaProperties,scale,,single-filament,ElectrodeConfiguration,scalability of discharge characteristics of a single-filament dielectric barrier discharge (DBD) to a spatially one-dimensional multi-filament arrangement,,,0.95,True,,paper_012:p0001
paper_012:r0002,,paper_012,Upscaling from single- to multi-filament dielectric barrier discharges in pulsed operation,10.1088/1361-6463/ac868b,,discharge characteristics,PlasmaProperties,scale,,multi-filament arrangement,ElectrodeConfiguration,scalability of discharge characteristics of a single-filament dielectric barrier discharge (DBD) to a spatially one-dimensional multi-filament arrangement,,,0.95,True,,paper_012:p0001
paper_012:r0003,,paper_012,Upscaling from single- to multi-filament dielectric barrier discharges in pulsed operation,10.1088/1361-6463/ac868b,,single-filament,ElectrodeConfiguration,use,,alumina caps,ElectrodeMaterial,two hemispherical alumina caps for the single-filament,,,0.9,True,,paper_012:p0001
paper_012:r0004,,paper_012,Upscaling from single- to multi-filament dielectric barrier discharges in pulsed operation,10.1088/1361-6463/ac868b,,multi-filament arrangement,ElectrodeConfiguration,use,,alumina-tubes,ElectrodeMaterial,two parallel alumina-tubes for the multi-filament arrangement,,,0.9,True,,paper_012:p0001
paper_012:r0005,,paper_012,Upscaling from single- to multi-filament dielectric barrier discharges in pulsed operation,10.1088/1361-6463/ac868b,,electrical measurements,Experiment,use,,iCCD,DiagnosticDevice,characterised by electrical measurements ... accompanied by iCCD and streak imaging,,,0.85,True,,paper_012:p0001
paper_012:r0006,,paper_012,Upscaling from single- to multi-filament dielectric barrier discharges in pulsed operation,10.1088/1361-6463/ac868b,,electrical measurements,Experiment,use,,streak imaging,DiagnosticDevice,characterised by electrical measurements ... accompanied by iCCD and streak imaging,,,0.85,True,,paper_012:p0001
paper_012:r0007,,paper_012,Upscaling from single- to multi-filament dielectric barrier discharges in pulsed operation,10.1088/1361-6463/ac868b,,electrical quantities,PhysicalQuantity,scale,,single-and multi-filament,ElectrodeConfiguration,electrical quantities scale with a constant factor between the single-and multi-filament arrangement,,,0.9,True,,paper_012:p0001
paper_012:r0008,,paper_012,Upscaling from single- to multi-filament dielectric barrier discharges in pulsed operation,10.1088/1361-6463/ac868b,,pulsed operation,PowerSupply,lead to,,filament formation,PhysicalQuantity,pulsed operation leads to filament formation in the entire gap,,,0.85,True,,paper_012:p0001
paper_012:r0009,,paper_012,Upscaling from single- to multi-filament dielectric barrier discharges in pulsed operation,10.1088/1361-6463/ac868b,,multi-filament DBDs,ElectrodeConfiguration,identify,,breakdown,DischargeRegime,particular breakdown or discharge inception regimes were identified for the multi-filament DBDs,,,0.8,True,,paper_012:p0001
paper_012:r0010,,paper_012,Upscaling from single- to multi-filament dielectric barrier discharges in pulsed operation,10.1088/1361-6463/ac868b,,multi-filament DBDs,ElectrodeConfiguration,identify,,discharge inception regimes,DischargeRegime,particular breakdown or discharge inception regimes were identified for the multi-filament DBDs,,,0.8,True,,paper_012:p0001
paper_012:r0011,,paper_012,Upscaling from single- to multi-filament dielectric barrier discharges in pulsed operation,10.1088/1361-6463/ac868b,,asymmetrical HV pulses,PowerSupply,feature,,double-streamer propagation,PhysicalEffect,generated at the falling slope of asymmetrical HV pulses featuring e.g. a double-streamer propagation,,,0.8,True,,paper_012:p0001
paper_012:r0012,,paper_012,Upscaling from single- to multi-filament dielectric barrier discharges in pulsed operation,10.1088/1361-6463/ac868b,,HV pulse widths,PowerSupply,apply,,one-dimensional multi-filament,ElectrodeConfiguration,discharge manipulation by varying the HV pulse widths ... can also be applied in a one-dimensional multi-filament arrangement,,,0.85,True,,paper_012:p0001
paper_012:r0013,,paper_012,Upscaling from single- to multi-filament dielectric barrier discharges in pulsed operation,10.1088/1361-6463/ac868b,,gas mixture,PlasmaMedium,composed of,,0.1 vol% O2 in N2,PlasmaMedium,gas mixture of 0.1 vol% O2 in N2 at 1 bar,,,0.9,True,,paper_012:p0001
paper_012:r0014,,paper_012,Upscaling from single- to multi-filament dielectric barrier discharges in pulsed operation,10.1088/1361-6463/ac868b,,0.1 vol% O2 in N2,PlasmaMedium,unit,,vol%,Unit,0.1 vol% O2 in N2,,,0.9,True,,paper_012:p0001
paper_012:r0015,,paper_012,Upscaling from single- to multi-filament dielectric barrier discharges in pulsed operation,10.1088/1361-6463/ac868b,,0.1 vol% O2 in N2,PlasmaMedium,unit,,bar,Unit,gas mixture of 0.1 vol% O2 in N2 at 1 bar,,,0.9,True,,paper_012:p0001
paper_012:r0016,,paper_012,Upscaling from single- to multi-filament dielectric barrier discharges in pulsed operation,10.1088/1361-6463/ac868b,,electrical measurements,Experiment,use,,gas mixture,PlasmaMedium,study on the scalability ... performed for a gas mixture of 0.1 vol% O2 in N2,,,0.85,True,,paper_012:p0001
paper_012:r0017,,paper_012,Upscaling from single- to multi-filament dielectric barrier discharges in pulsed operation,10.1088/1361-6463/ac868b,,Dielectric barrier discharges (DBDs),PlasmaSource,generates,,non-thermal atmospheric pressure plasmas,PlasmaProperties,DBDs are a common tool to generate non-thermal atmospheric pressure plasmas,,,0.95,True,,paper_012:p0002
paper_012:r0018,,paper_012,Upscaling from single- to multi-filament dielectric barrier discharges in pulsed operation,10.1088/1361-6463/ac868b,,Dielectric barrier discharges (DBDs),PlasmaSource,used_for,,chemical processing,PlasmaApplication,used for e.g. chemical processing or gas purification,,,0.9,True,,paper_012:p0002
paper_012:r0019,,paper_012,Upscaling from single- to multi-filament dielectric barrier discharges in pulsed operation,10.1088/1361-6463/ac868b,,molecular gas mixtures,PlasmaMedium,characterized_by,,filamentary,DischargeRegime,"In molecular gas mixtures, DBDs are in most cases filamentary",,,0.95,True,,paper_012:p0002
paper_012:r0020,,paper_012,Upscaling from single- to multi-filament dielectric barrier discharges in pulsed operation,10.1088/1361-6463/ac868b,,pulsed-operated discharges,PowerSupply,more_efficient_for,,reactive species generation,Modelling,the generation of reactive species is more efficient for pulsed-operated discharges,,,0.9,True,,paper_012:p0002
paper_012:r0021,,paper_012,Upscaling from single- to multi-filament dielectric barrier discharges in pulsed operation,10.1088/1361-6463/ac868b,,plate-toplate arrangements,ElectrodeConfiguration,feature,,"lateral, self-organising structures",DischargeRegime,"DBDs feature a wide variety of lateral, self-organising structures",,,0.95,True,,paper_012:p0002
paper_012:r0022,,paper_012,Upscaling from single- to multi-filament dielectric barrier discharges in pulsed operation,10.1088/1361-6463/ac868b,,asymmetrical HV pulses,PowerSupply,generate_discharge_in,,high space charge environment,PhysicalQuantity,the discharge at the subsequent HV slope is generated in a high space charge environment,,,0.9,True,,paper_012:p0002
paper_012:r0023,,paper_012,Upscaling from single- to multi-filament dielectric barrier discharges in pulsed operation,10.1088/1361-6463/ac868b,,residual space charge density,PhysicalQuantity,leads_to,,different electric field configurations,PhysicalQuantity,which leads to different electric field configurations in the volume,,,0.95,True,,paper_012:p0002
