relation_id,sentence_id,paper_id,paper_title,doi,subject_mention_id,subject_text,subject_type,predicate,object_mention_id,object_text,object_type,evidence_text,relation_origin,inherited_from,confidence,accepted,support_sentence_ids,support_paragraph_id
paper_029:r0001,,paper_029,Fluid modelling of CO2 dissociation in a dielectric barrier discharge,10.1063/1.4941530,,dissociation of CO2,PhysicalEffect,occurs_in,,dielectric barrier discharge,PlasmaSource,dissociation of CO2 in a geometrically symmetric dielectric barrier discharge,,,0.95,True,,paper_029:p0001
paper_029:r0002,,paper_029,Fluid modelling of CO2 dissociation in a dielectric barrier discharge,10.1063/1.4941530,,time-and space-dependent fluid model,Modelling,accounts_for,,spatial variation of the plasma,PlasmaProperties,taking into account the spatial variation of the plasma between the plane-parallel dielectrics,,,0.9,True,,paper_029:p0001
paper_029:r0003,,paper_029,Fluid modelling of CO2 dissociation in a dielectric barrier discharge,10.1063/1.4941530,,electron impact dissociation,PhysicalEffect,produces,,CO molecules,PlasmaTarget,"generation of CO mainly takes place during the discharge pulses, and it is dominated by electron impact dissociation",,,0.95,True,,paper_029:p0001
paper_029:r0004,,paper_029,Fluid modelling of CO2 dissociation in a dielectric barrier discharge,10.1063/1.4941530,,specific energy input,PhysicalQuantity,correlates_with,,conversion degree,PhysicalQuantity,the calculated degree of CO2 conversion has been found to increase almost linearly with the specific energy input,,,0.9,True,,paper_029:p0001
paper_029:r0005,,paper_029,Fluid modelling of CO2 dissociation in a dielectric barrier discharge,10.1063/1.4941530,,non-equilibrium plasma,PlasmaProperties,enables,,dissociating CO2,PhysicalEffect,non-equilibrium plasmas... are capable of dissociating CO2 with very high energy efficiencies,,,0.95,True,,paper_029:p0001
paper_029:r0006,,paper_029,Fluid modelling of CO2 dissociation in a dielectric barrier discharge,10.1063/1.4941530,,dielectric barrier discharge,PlasmaSource,applied_to,,synthetic fuels,PlasmaApplication,Electricity from renewable energy can be directly used to make synthetic fuels sustainable if electrical discharges could be used to generate CO from CO2,,,0.9,True,,paper_029:p0001
paper_029:r0007,,paper_029,Fluid modelling of CO2 dissociation in a dielectric barrier discharge,10.1063/1.4941530,,reaction kinetics,Modelling,includes,,vibrational states of CO2,Species,an extensive reaction kinetics for the vibrational states of CO2,,,0.95,True,,paper_029:p0001
paper_029:r0008,,paper_029,Fluid modelling of CO2 dissociation in a dielectric barrier discharge,10.1063/1.4941530,,model calculations,Modelling,show,,spatially asymmetric distribution of CO molecules and O atoms,PlasmaMedium,leading to a spatially asymmetric distribution of the stable neutrals like CO molecules and O atoms,,,0.9,True,,paper_029:p0001
paper_029:r0009,,paper_029,Fluid modelling of CO2 dissociation in a dielectric barrier discharge,10.1063/1.4941530,,specific energy input,PhysicalQuantity,used_in,,plasma processing,PlasmaApplication,specific energy input is frequently used in plasma processing,,,0.85,True,,paper_029:p0001
paper_029:r0010,,paper_029,Fluid modelling of CO2 dissociation in a dielectric barrier discharge,10.1063/1.4941530,,dielectric barrier discharge,PlasmaSource,studied_with,,numerical modelling,Modelling,numerical modelling related to the DBD reactor used in Ref. 15,,,0.95,True,,paper_029:p0001
