relation_id,sentence_id,paper_id,paper_title,doi,subject_mention_id,subject_text,subject_type,predicate,object_mention_id,object_text,object_type,evidence_text,relation_origin,inherited_from,confidence,accepted,support_sentence_ids,support_paragraph_id
paper_013:r0001,,paper_013,The influence of negative ions in helium–oxygen barrier discharges II. 1D fluid simulation and adaption to the experiment,10.1088/0963-0252/25/5/055024,,1D fluid simulation,Modelling,investigates,,barrier discharge,PlasmaSource,developed to investigate the influence of negative ions in a helium-oxygen barrier discharge,,,0.95,True,,paper_013:p0001
paper_013:r0002,,paper_013,The influence of negative ions in helium–oxygen barrier discharges II. 1D fluid simulation and adaption to the experiment,10.1088/0963-0252/25/5/055024,,glass plates,ElectrodeConfiguration,has_distance,,3 mm,Unit,between two glass plates at a distance of 3 mm,,,0.9,True,,paper_013:p0001
paper_013:r0003,,paper_013,The influence of negative ions in helium–oxygen barrier discharges II. 1D fluid simulation and adaption to the experiment,10.1088/0963-0252/25/5/055024,,1D fluid simulation,Modelling,set_up_for,,500 mbar,PhysicalQuantity,setting up the simulation for a pressure of 500 mbar,,,0.9,True,,paper_013:p0001
paper_013:r0004,,paper_013,The influence of negative ions in helium–oxygen barrier discharges II. 1D fluid simulation and adaption to the experiment,10.1088/0963-0252/25/5/055024,,1D fluid simulation,Modelling,set_up_for,,400 ppm oxygen to helium,PlasmaMedium,admixtures of 400 ppm oxygen to helium,,,0.9,True,,paper_013:p0001
paper_013:r0005,,paper_013,The influence of negative ions in helium–oxygen barrier discharges II. 1D fluid simulation and adaption to the experiment,10.1088/0963-0252/25/5/055024,,1D fluid simulation,Modelling,compared_to,,laser photodetachment experiments,Experiment,comparison with laser photodetachment experiments,,,0.95,True,,paper_013:p0001
paper_013:r0006,,paper_013,The influence of negative ions in helium–oxygen barrier discharges II. 1D fluid simulation and adaption to the experiment,10.1088/0963-0252/25/5/055024,,1D fluid simulation,Modelling,varies,,gas temperature,PhysicalQuantity,varying gas temperature,,,0.9,True,,paper_013:p0001
paper_013:r0007,,paper_013,The influence of negative ions in helium–oxygen barrier discharges II. 1D fluid simulation and adaption to the experiment,10.1088/0963-0252/25/5/055024,,1D fluid simulation,Modelling,varies,,flux of thermally desorpted electrons,PhysicalQuantity,varying flux of thermally desorpted electrons,,,0.9,True,,paper_013:p0001
paper_013:r0008,,paper_013,The influence of negative ions in helium–oxygen barrier discharges II. 1D fluid simulation and adaption to the experiment,10.1088/0963-0252/25/5/055024,,discharge,PlasmaProperties,characterized_by,,elementary collision processes,PhysicalEffect,evaluation of the most important elementary collision processes,,,0.9,True,,paper_013:p0001
paper_013:r0009,,paper_013,The influence of negative ions in helium–oxygen barrier discharges II. 1D fluid simulation and adaption to the experiment,10.1088/0963-0252/25/5/055024,,discharge,PlasmaProperties,characterized_by,,kinetics of the charged species,Modelling,evaluation of the kinetics of the charged species,,,0.9,True,,paper_013:p0001
paper_013:r0010,,paper_013,The influence of negative ions in helium–oxygen barrier discharges II. 1D fluid simulation and adaption to the experiment,10.1088/0963-0252/25/5/055024,,discharge,PlasmaProperties,influenced_by,,long-living species,Species,influence of long-living species on the discharge behavior,,,0.85,True,,paper_013:p0001
