relation_id,sentence_id,paper_id,paper_title,doi,subject_mention_id,subject_text,subject_type,predicate,object_mention_id,object_text,object_type,evidence_text,relation_origin,inherited_from,confidence,accepted,support_sentence_ids,support_paragraph_id
paper_026:r0001,,paper_026,Surface charge measurements on different dielectrics in diffuse and filamentary barrier discharges,10.1088/1361-6463/aa5605,,measurement of surface charges,Experiment,uses,,electro-optic Pockels effect,PhysicalEffect,using the electro-optic Pockels effect of a bismuth silicon oxide (BSO) crystal,,,0.95,True,,paper_026:p0001
paper_026:r0002,,paper_026,Surface charge measurements on different dielectrics in diffuse and filamentary barrier discharges,10.1088/1361-6463/aa5605,,surface charge diagnostics,Experiment,applies_to,,borosilicate glass,ElectrodeMaterial,determined on optically transparent borosilicate glass,,,0.9,True,,paper_026:p0001
paper_026:r0003,,paper_026,Surface charge measurements on different dielectrics in diffuse and filamentary barrier discharges,10.1088/1361-6463/aa5605,,surface charge diagnostics,Experiment,applies_to,,mono-crystalline alumina,ElectrodeMaterial,determined on ... mono-crystalline alumina and magnesia,,,0.9,True,,paper_026:p0001
paper_026:r0004,,paper_026,Surface charge measurements on different dielectrics in diffuse and filamentary barrier discharges,10.1088/1361-6463/aa5605,,surface charge diagnostics,Experiment,measures,,surface charges,PhysicalQuantity,dynamics and spatial distribution of positive and negative surface charges were determined,,,0.95,True,,paper_026:p0001
paper_026:r0005,,paper_026,Surface charge measurements on different dielectrics in diffuse and filamentary barrier discharges,10.1088/1361-6463/aa5605,,Townsend's criterion,Modelling,used_for,,effective secondary electron emission (SEE) coefficients,PhysicalQuantity,estimated using Townsend's criterion in combination with analytical calculations,,,0.9,True,,paper_026:p0001
paper_026:r0006,,paper_026,Surface charge measurements on different dielectrics in diffuse and filamentary barrier discharges,10.1088/1361-6463/aa5605,,self-stabilized discharge filaments,DischargeRegime,involves,,surface charge memory effect,PhysicalEffect,importance of the surface charge memory effect for the self-stabilization of discharge filaments,,,0.95,True,,paper_026:p0001
paper_026:r0007,,paper_026,Surface charge measurements on different dielectrics in diffuse and filamentary barrier discharges,10.1088/1361-6463/aa5605,,nitrogen admixture to helium,PlasmaMedium,has_property,,pressure,PhysicalQuantity,variation of the nitrogen admixture to helium and the pressure between 500 mbar and 1 bar,,,0.85,True,,paper_026:p0001
paper_026:r0008,,paper_026,Surface charge measurements on different dielectrics in diffuse and filamentary barrier discharges,10.1088/1361-6463/aa5605,,gap voltage,PhysicalQuantity,has_property,,spatio-temporal behavior,PlasmaProperties,recalculated spatio-temporal behavior of the gap voltage,,,0.9,True,,paper_026:p0001
paper_026:r0009,,paper_026,Surface charge measurements on different dielectrics in diffuse and filamentary barrier discharges,10.1088/1361-6463/aa5605,,barrier discharges (BDs),PlasmaSource,operated_in,,gas gap of 3 mm,Unit,operated inside of a gas gap of 3 mm,,,0.85,True,,paper_026:p0001
paper_026:r0010,,paper_026,Surface charge measurements on different dielectrics in diffuse and filamentary barrier discharges,10.1088/1361-6463/aa5605,,barrier discharges,PlasmaSource,generate,,non-equilibrium plasmas,PlasmaProperties,BDs generate non-equilibrium plasmas at elevated pressures,,,1.0,True,,paper_026:p0002
